amp; max; min; volt; max; min; wattage; mah; Joule
125,23;129,5;119,2;5,02;5,02;5,02;1,0;13,72;0,15
137,97;169,7;119,2;5,02;5,02;5,01;1,0;13,73;0,15
151,77;213,2;117,1;5,02;5,03;5,0;1,0;13,75;0,15
169,47;123,2;112,9;5,01;5,03;4,98;1,0;13,75;0,15
179,7;272,0;112,9;5,02;5,02;5,0;1,0;13,77;0,15
213,43;195,0;173,3;5,0;5,02;4,99;1,0;13,78;0,15
303,6;425,3;173,3;4,95;4,96;4,91;2,0;13,8;0,3
289,43;374,8;181,3;4,97;5,01;4,91;1,0;13,81;0,15
174,33;171,4;170,3;5,01;5,01;5,01;1,0;13,82;0,15
163,27;160,1;159,4;5,01;5,02;5,01;1,0;13,83;0,15
140,43;145,2;132,4;5,02;5,02;5,01;1,0;13,85;0,15
169,79;256,5;121,5;5,01;5,02;4,94;1,0;13,89;0,15
159,01;173,5;130,0;5,01;5,02;5,0;1,0;13,92;0,15
152,28;205,5;120,5;5,02;5,03;5,01;1,0;13,94;0,15
115,72;116,5;111,1;5,02;5,02;5,02;1,0;13,95;0,15
123,25;138,6;111,1;5,03;5,03;5,02;1,0;13,96;0,15
132,97;135,8;131,4;5,02;5,02;5,02;1,0;13,97;0,15
131,67;132,1;131,4;5,02;5,02;5,02;1,0;13,97;0,15
137,33;151,2;129,9;5,02;5,02;5,02;1,0;13,99;0,15
131,93;135,8;123,3;5,02;5,03;5,02;1,0;13,99;0,15
125,03;126,5;123,3;5,02;5,03;5,02;1,0;14,0;0,15
143,83;160,7;125,3;5,02;5,01;5,0;1,0;14,01;0,15
159,7;161,8;156,6;5,01;5,02;5,0;1,0;14,02;0,15
144,37;146,4;130,1;5,02;5,02;5,01;1,0;14,03;0,15
141,33;159,2;130,1;5,02;5,02;5,01;1,0;14,03;0,15
160,67;164,8;158,0;5,01;5,02;5,01;1,0;14,04;0,15
239,03;388,1;164,2;4,99;5,01;4,93;1,0;14,06;0,15
278,97;236,2;212,6;4,97;4,99;4,93;1,0;14,07;0,15
183,52;172,9;140,9;5,01;5,02;4,99;1,0;14,08;0,15
163,27;169,3;136,4;5,01;5,02;5,0;1,0;14,09;0,15
142,87;131,1;128,2;5,02;5,02;5,02;1,0;14,1;0,15
122,8;124,1;116,1;5,02;5,03;5,02;1,0;14,11;0,15
116,4;117,0;116,1;5,03;5,02;5,02;1,0;14,11;0,15
116,37;116,9;115,2;5,02;5,02;5,02;1,0;14,12;0,15
122,77;133,3;115,2;5,02;5,02;5,02;1,0;14,13;0,15
121,4;124,2;119,8;5,02;5,03;5,02;1,0;14,13;0,15
126,13;127,9;124,2;5,02;5,02;5,02;1,0;14,14;0,15
145,77;156,5;127,9;5,02;5,02;5,01;1,0;14,15;0,15
140,15;139,6;129,7;5,02;5,02;5,01;1,0;14,16;0,15
127,97;127,3;126,9;5,02;5,02;5,02;1,0;14,17;0,15
122,53;120,2;120,1;5,02;5,03;5,02;1,0;14,17;0,15
121,07;121,9;120,1;5,02;5,02;5,02;1,0;14,18;0,15
