amp, max, min, volt, max, min, wattage, mah, Joule
3.83,13.3,2.8,5.06,5.06,5.05,0.0,176.56,0.0
3.03,4.1,2.5,5.06,5.06,5.06,0.0,176.56,0.0
3.08,4.3,2.7,5.06,5.06,5.06,0.0,176.56,0.0
3.13,4.6,2.7,5.06,5.06,5.06,0.0,176.56,0.0
3.0,3.1,2.9,5.06,5.06,5.06,0.0,176.56,0.0
3.36,4.6,2.8,5.06,5.06,5.06,0.0,176.56,0.0
2.88,3.3,2.7,5.06,5.06,5.06,0.0,176.56,0.0
2.93,3.1,2.7,5.06,5.06,5.06,0.0,176.56,0.0
3.1,3.4,2.9,5.06,5.06,5.06,0.0,176.56,0.0
3.53,4.8,2.8,5.06,5.06,5.06,0.0,176.56,0.0
3.53,3.1,2.7,5.06,5.06,5.06,0.0,176.56,0.0
2.97,3.1,2.7,5.06,5.06,5.06,0.0,176.56,0.0
2.93,2.9,2.8,5.06,5.06,5.06,0.0,176.56,0.0
2.87,3.0,2.7,5.06,5.06,5.06,0.0,176.56,0.0
2.93,3.0,2.8,5.06,5.06,5.06,0.0,176.56,0.0
3.5,4.5,3.0,5.06,5.06,5.06,0.0,176.56,0.0
3.03,3.2,2.9,5.06,5.06,5.06,0.0,176.56,0.0
3.17,3.2,3.1,5.06,5.06,5.06,0.0,176.56,0.0
3.1,3.1,3.0,5.06,5.06,5.06,0.0,176.56,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.56,0.0
2.97,3.1,2.9,5.06,5.06,5.06,0.0,176.56,0.0
3.17,3.3,3.1,5.06,5.06,5.06,0.0,176.56,0.0
3.13,3.2,2.9,5.06,5.06,5.06,0.0,176.56,0.0
3.0,3.0,2.8,5.06,5.06,5.06,0.0,176.56,0.0
2.93,3.0,2.7,5.06,5.06,5.06,0.0,176.56,0.0
2.93,3.0,2.8,5.06,5.06,5.06,0.0,176.56,0.0
3.0,3.3,2.8,5.06,5.06,5.06,0.0,176.56,0.0
3.17,3.3,2.9,5.06,5.06,5.06,0.0,176.56,0.0
3.0,3.1,2.9,5.06,5.06,5.06,0.0,176.56,0.0
2.9,3.0,2.7,5.05,5.06,5.05,0.0,176.56,0.0
3.6,4.8,3.0,5.06,5.06,5.06,0.0,176.56,0.0
3.53,3.0,2.8,5.06,5.06,5.06,0.0,176.56,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.56,0.0
2.87,3.0,2.7,5.06,5.06,5.06,0.0,176.56,0.0
2.93,3.1,2.7,5.06,5.06,5.06,0.0,176.57,0.0
3.1,3.6,2.7,5.06,5.06,5.06,0.0,176.57,0.0
3.57,4.5,3.0,5.06,5.06,5.06,0.0,176.57,0.0
4.3,6.7,3.0,5.06,5.06,5.06,0.0,176.57,0.0
2.83,2.9,2.6,5.06,5.06,5.06,0.0,176.57,0.0
3.23,3.5,3.1,5.06,5.06,5.06,0.0,176.57,0.0
3.03,3.1,2.9,5.06,5.06,5.06,0.0,176.57,0.0
3.47,4.5,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.07,3.2,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.1,3.1,3.0,5.06,5.06,5.06,0.0,176.57,0.0
3.0,3.2,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.03,3.1,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.37,4.4,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.47,3.2,2.8,5.06,5.06,5.06,0.0,176.57,0.0
2.97,3.2,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.03,3.3,2.9,5.06,5.06,5.06,0.0,176.57,0.0
2.93,3.0,2.9,5.06,5.06,5.06,0.0,176.57,0.0
2.9,2.9,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.43,4.5,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.03,3.2,2.9,5.06,5.06,5.06,0.0,176.57,0.0
5.9,11.9,2.8,5.06,5.06,5.06,0.0,176.57,0.0
2.8,3.0,2.6,5.06,5.06,5.06,0.0,176.57,0.0
2.93,3.1,2.7,5.06,5.06,5.06,0.0,176.57,0.0
21.03,57.2,2.7,5.05,5.06,5.05,0.0,176.57,0.0
3.17,3.3,3.0,5.06,5.06,5.06,0.0,176.57,0.0
3.0,3.0,2.7,5.06,5.06,5.06,0.0,176.57,0.0
2.93,3.1,2.7,5.06,5.06,5.06,0.0,176.57,0.0
2.93,3.0,2.8,5.06,5.06,5.06,0.0,176.57,0.0
3.03,3.5,2.8,5.06,5.06,5.06,0.0,176.57,0.0
2.87,2.9,2.8,5.06,5.06,5.06,0.0,176.57,0.0
2.87,3.0,2.7,5.06,5.06,5.06,0.0,176.57,0.0
2.8,3.0,2.7,5.06,5.06,5.06,0.0,176.57,0.0
2.97,3.4,2.7,5.06,5.06,5.06,0.0,176.57,0.0
3.57,4.7,2.6,5.06,5.06,5.06,0.0,176.57,0.0
3.53,3.0,2.9,5.06,5.06,5.06,0.0,176.57,0.0
2.9,2.9,2.8,5.06,5.06,5.06,0.0,176.57,0.0
2.87,3.0,2.7,5.06,5.06,5.06,0.0,176.57,0.0
2.93,2.9,2.9,5.06,5.06,5.06,0.0,176.57,0.0
6.27,11.5,2.9,5.06,5.06,5.06,0.0,176.57,0.0
